,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,VH + R&D UPDATE,,,,,,,,,,,,,,,VẬN HÀNH UPDATE,,,,,,,,,,,,,,,,,,,
ID Shopee,ID Tiktok,Tên Sản phẩm,Giá bán Shopee,Tên ký hiệu Kho,THÔNG TIN HÀNG VỀ,Loại SP,Chi tiết dòng sản phẩm,Chất liệu,SKU_ Sản phẩm,SKU_ Phân loại,Link hình ảnh,Hình ảnh,Trạng thái SP,Nhóm,Phụ trách chính,Phụ trách SX,Thiết kế,Màu sắc,Bảng size,"Bảng gợi ý size
(mang tính chất tham khảo)",Hình ảnh test,,Điểm nổi bật của sản phẩm,Đăc điểm bản thường,Đặc điểm bản premium,"Chu kỳ đặt hàng (ngày)
C","Thời gian sản xuất (ngày)
Y",SỐ BẢN,Ảnh  lookbook,Ảnh 2D,Ảnh feedback,SỰ KHÁC NHAU GIỮA 2 BẢN (nếu có) ,Ngày đăng sản phẩm,Ngày chốt SX,Thời gian dự kiến ghép vải + Sửa mẫu,Thời gian dự kiến SX,Dự kiến về hàng mẫu,Dự kiến nhập kho,So sánh phân loại,Hướng dẫn sử dụng và bảo quản,Link shopee cho khách,Link tiktok cho khách,,,Team Booking,Task Booking,Tên BST
26952317106,1730487426535491905,Quần Dài Vải Đũi 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Cạp Chun Mềm Mại Thông Thoáng Đa Năng Mùa Hè - QCC02,176 258,Quần Vải Đũi,,Sản phẩm lẻ,Quần dài ứng dụng,đũi,406DU1_QTD009_,"406DU1_QTD009_TR
406DU1_QTD009_GH",https://cf.shopee.vn/file/vn-11134207-7ras8-mc58o0ncuk7p17,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Be
Xám",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Quần dài ống rộng giúp che khuyết điểm chân.

- Chất vải 100% cotton thoáng mát, thấm hút mồ hôi.

- Vải sử dụng qua giặt mềm giúp vải mềm mướt hơn, hạn chế co vải.

- Điểm nhấn gấu quần bản to.",,,12,12,2,Quần Dài Vải Đũi Cạp Chun Mềm Mại Thông Thoáng Đa Năng Mùa Hè 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,CAM 4SP ,,,,,,,,,,,https://shopee.vn/product/574105684/26952317106,https://www.tiktok.com/view/product/1730487426535491905?region=VN&locale=vi-VN,,,Sản phẩm R&D,Đặt hàng,Sản phẩm lẻ
29673023616,1732013945501813057,Áo Thun Babytee Thể Thao 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Jersey Số 9 Soccer Hack Dáng Đường Phố Cho Nữ,155 186,Áo số 9,504CH1_QEN027_,To Youth,Babytee,"bản thường: vải thể thao
bản pre: cotton 4 chiều",501CO1_ATN006_,"501CO1_ATN006_TR
501CO1_ATN006_XT",https://cf.shopee.vn/file/vn-11134207-81ztc-mlwy8hhey3gv33,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Mỹ Duyên,"Trắng kem
Xanh Navy",,,,,"- Dáng babytee classic
- Phối cổ Jeser cá tính
- Hình thêu nổi bật
- Chất liệu vải cotton thấm húy co dãn 4 chiều",,,18,18,2,Áo Thun Babytee Thể Thao 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Jersey Số 9 Soccer Hack Dáng Đường Phố Cho Nữ,,,,,,,,,,,,https://shopee.vn/product/574105684/29673023616,https://www.tiktok.com/view/product/1732013945501813057?region=VN&locale=vi-VN,,,Sản Xuất,Chỉnh sửa/Update hình ảnh,Fall Winter
25819195819,1730183130861373761,Quần Váy 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Cách Điệu Hàn Quốc Vải Chéo Hàn Đính Logo Nữ Tính,171 237,Váy vải chéo,,Sản phẩm lẻ, Quần váy,vải chéo hàn,403CH1_CQA012_,"403CH1_CQA012_BE
403CH1_CQA012_DE
403CH1_CQA012_GH",https://cf.shopee.vn/file/vn-11134207-7ras8-mcpuzjtpayl81e,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Xám
Be
Đen",,,,,"- Chất liệu vải chéo hàn, logo nổi
- Xếp ly gần 2 bên hông quần giúp tạo điểm nhấn cho vòng eo. 
Bản cạp to có đỉa quần, dễ dàng điều chỉnh phần eo phù hợp với dáng người. 
Quần giả váy nên thoải mái và dễ dàng vận động.",,,12,12,2,"Quần Váy Cách Điệu Hàn Quốc Vải Chéo Hàn Thêu Logo Nữ Tính 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎

Chân váy xámm","CAM 8SP 

CAM 12SP ",,,,,,,,,,,https://shopee.vn/product/574105684/25819195819,https://www.tiktok.com/view/product/1730183130861373761?region=VN&locale=vi-VN,,,Vận Hành & Booking,"Điều chỉnh, bật tắt tồn",Summer Diaries
22345756054,1729640349810460993,Quần Ống Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Cạp Chun Mát Lạnh Mùa Hè,190 237,Quần Mát Lạnh,,Sản phẩm lẻ,Quần dài ứng dụng,gió,306GI1_QTD010_,"306GI1_QTD010_BE
306GI1_QTD010_DE
306GI1_QTD010_GH
306GI1_QTD010_HO",https://cf.shopee.vn/file/vn-11134207-7ras8-mck6xj5fmdgtaa,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Đen
Be
Xám
Hồng
Trắng
Tím",,,,,"- Quần được làm bằng vải gió nhăn thoáng mát, có độ co dãn 4 chiều tạo cảm giác dễ chịu, thoải mái khi mặc

- Quần có nhiều ly ống rộng che khuyết điểm chân",,,16,16,2,Quần Ống Rộng Cạp Chun Mát Lạnh Mùa Hè 𝘽𝙮.𝘾𝙖𝙢𝙘𝙖𝙢,,,,,,,,,,,,https://shopee.vn/product/574105684/22345756054,https://www.tiktok.com/view/product/1729640349810460993?region=VN&locale=vi-VN,,,Content & Marketing,Tắt CTKM,Our Beloved Summer
29558441208,1730768429046794561,"Áo Baby Tee 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  ""I Love Cat"" 100% Cotton [BST Cat's Favorite]",145 176,love cat,x,Cat's Favourite,Babytee,"bản thường: 230gsm
bản pre: 250gsm",408CO1_ABN030_,"408CO1_ABN030_DE
408CO1_ABN030_BE
408CO1_ABN030_HO
408CO1_ABN030_XA",https://cf.shopee.vn/file/vn-11134207-7r98o-lzih0a8e691p6e,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Lan Hương,Đen/ Be/ Hồng/ Xanh dương,,,,,"- Áo được làm từ chất liệu 100% Cotton 2 chiều tạo cảm giác thoải mái, thoáng mát khi mặc. 

- Mặt trước của áo có hình in nổi bật thay đổi theo màu áo, mặt sau có thêu logo thương hiệu.

- Form áo basic, màu sắc trẻ trung năng động, phù hợp nhiều lứa tuổi.",,,15,15,1,,Ảnh sản phẩm ,,,,,,,,,,,https://shopee.vn/product/574105684/29558441208,https://www.tiktok.com/view/product/1730768429046794561?region=VN&locale=vi-VN,,,CSKH,Tăng số lượng SX,Cat's Favourite
26176923705,1731260394125690177,Áo Polo Chiết Eo Tay Bồng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Ôm Vừa Tôn Dáng Cho Nữ Xuân Hè 2025,176 237,polo cổ ren . PL05,,To Youth,Polo,vải lacoste,503SA1_APN021_,"503SA1_APN021_HO
503SA1_APN021_XT",https://cf.shopee.vn/file/vn-11134207-81ztc-mlvljvwi251h07,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Xanh navy
Hồng",,,CAM 12sp,,"- Chất liệu vải cá sấu thoáng mát, thấm hút mồ hôi, áo phối cổ trắng 
- Form rộng dễ mặc, che khuyết điểm tốt
- Áo tay bồng che bắp tay",,,17,17,2,Áo Polo Chiết Eo Tay Bồng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Form Ôm Vừa Tôn Dáng Cho Nữ Xuân Hè 2025,"CAM CAM 14SP 

CAM 12sp ",,,,,,,,,,,https://shopee.vn/product/574105684/26176923705,https://www.tiktok.com/view/product/1731260394125690177?region=VN&locale=vi-VN,,,Kho,Giảm số lượng SX,To Youth
25341142575,1732228855192717633,Quần Dài Kẻ Sọc Kaki 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ống Rộng Phối Dây Belt,251 320,Quần QS05,,Sản phẩm lẻ,Quần dài thời trang,kaki kẻ,502KA1_QTD014_,"502KA1_QTD014_TR
502KA1_QTD014_XA",https://cf.shopee.vn/file/vn-11134207-7ras8-mbcavqbg7r2936,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Mỹ Duyên,"Sọc Trắng
Sọc Xanh
Sọc Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Chất Liệu Kaki mềm
- Kẻ sọc hack dáng
- Túi quần sâu và rộng 
- Phối dây lưng cá tính",,,16,16,1,chưa có,CAM CAM 15SP ,,,,,,,,,,,https://shopee.vn/product/574105684/25341142575,https://www.tiktok.com/view/product/1732228855192717633?region=VN&locale=vi-VN,,,Livestream,Ưu tiên SX,Tết Tết
23729567102,1729599255421356353,Quần Vải Dù 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ống Rộng PARACHUTE Màu Trơn,176 259,Quần Vải Dù Parachute,,Sản phẩm lẻ,Quần dài ứng dụng,"kaki mềm
gió",304GI1_QTD012_,"304GI1_QTD012_BE
304GI1_QTD012_HO
304GI1_QTD012_DE
304GI1_QTD012_RE
304GI1_QTD012_TI",https://cf.shopee.vn/file/vn-11134207-7r98o-lz766t51uppd75,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Tím
Đen
Be
Hồng
Xanh rêu",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Đa dạng chất liệu theo từng màu
- Có dây rút ở gấu có thể mặc 2 kiểu
- Có 2 túi rộng",,,16,16,1,Quần Vải Dù Ống Rộng PARACHUTE Màu Trơn 𝘽𝙮.𝘾𝙖𝙢𝙘𝙖𝙢,,,,,,,,,,,,https://shopee.vn/product/574105684/23729567102,https://www.tiktok.com/view/product/1729599255421356353?region=VN&locale=vi-VN,,,CEO (Anh Du),Bật pre-ord sản phẩm,Cozy
